Sri Lanka,Trincomalee Airport,TRR,8.53333,81.1833
Sri Lanka,Hatton Airport,NUF,6.90034,80.5966
Sri Lanka,Koggala Airport,KCT,5.99361,80.3203
Sri Lanka,Sigiriya Airport,GIU,7.95,80.7167
Philippines,Sicogon Airport,ICO,11.4618,123.252
Philippines,Barangay Funda-Dalipe Airport,EUQ,10.7606,121.932
Philippines,Balesin Island Airport,BSI,14.4159,122.036
Philippines,Busuanga Island Airport,USU,12.1207,120.1
Philippines,Subic Bay Freeport Zone Airport,SFS,14.7954,120.283
Philippines,Marinduque Airport,MRQ,13.3583,121.828
Philippines,Cuyo Airport,CYU,10.8603,121.07
Philippines,Ormoc Airport,OMC,11.0555,124.566
Philippines,Borongan Airport,BPR,11.6759,125.478
Philippines,Tandag Airport,TDG,9.07211,126.171
Philippines,El Nido Airport,ENI,11.2022,119.416
Philippines,Del Carmen Airport,IAO,9.85917,126.015
Philippines,Virac Airport,VRC,13.5795,124.212
Philippines,Tawi-Tawi Airport,TWT,5.04527,119.743
Philippines,Tuguegarao City Airport,TUG,17.6383,121.731
Philippines,Tablas Airport,TBH,12.3667,122.0
Philippines,Tacloban Airport,TAC,11.2275,125.028
Philippines,San Jose Airport,SJI,12.3614,121.047
Philippines,Pagadian Airport,PAG,7.82722,123.458
Philippines,Ozamis Airport,OZC,8.17861,123.842
Philippines,Caticlan Airport,MPH,11.9244,121.954
Philippines,Masbate Airport,MBT,12.3694,123.629
Philippines,Kalibo Airport,KLO,11.6794,122.376
Philippines,General Santos Airport,GES,6.10639,125.235
Philippines,Dipolog Airport,DPL,8.60139,123.334
Philippines,Cauayan Airport,CYZ,16.9167,121.75
Philippines,Calbayog Airport,CYP,12.0728,124.545
Philippines,Catarman Airport,CRM,12.5025,124.636
Philippines,Cotabato City Airport,CBO,7.16331,124.214
Philippines,Butuan Airport,BXU,8.95139,125.478
Philippines,Basco Airport,BSO,20.4514,121.98
Philippines,Iloilo City Airport,ILO,10.7131,122.545
Philippines,Zamboanga Airport,ZAM,6.9225,122.06
Philippines,Naga Airport,WNP,13.585,123.27
Philippines,Tagbilaran City Airport,TAG,9.66417,123.853
Philippines,Surigao Airport,SUG,9.7575,125.479
Philippines,Roxas City Airport,RXS,11.5978,122.752
Philippines,Puerto Princesa City Airport,PPS,9.74222,118.759
Philippines,Legaspi Airport,LGP,13.1569,123.746
Philippines,Laoag Airport,LAO,18.1781,120.531
Philippines,Davao City Airport,DVO,7.12528,125.646
Philippines,Dumaguete Airport,DGT,9.33361,123.301
Philippines,Cagayan de Oro Airport,CGY,8.41556,124.611
Philippines,Camiguin Airport,CGM,9.25361,124.707
Philippines,Cebu Airport,CEB,10.3075,123.979
Philippines,Bacolod Airport,BCD,10.7683,123.017
Nepal,Rajbiraj Airport,RJB,26.5088,86.7371
Nepal,Surkhet Airport,SKH,28.1018,81.6673
Nepal,Manang Airport,NGX,28.6417,84.0864
Nepal,Tumlingtar Airport,TMI,27.3157,87.1948
